multiple_myeloma_time_since_entrance_start,multiple_myeloma_time_since_entrance_end,rate
0,1,0.145453262
1,2,0.144017112
2,3,0.142630752
3,4,0.141293785
4,5,0.140005814
5,6,0.138766442
6,7,0.137575272
7,8,0.136431906
8,9,0.135335948
9,10,0.134287
10,11,0.133284666
11,12,0.132328547
12,13,0.131418247
13,14,0.130553369
14,15,0.129733515
15,16,0.128958288
16,17,0.128227292
17,18,0.127540129
18,19,0.126896402
19,20,0.126295713
20,21,0.125737667
21,22,0.125221864
22,23,0.124747909
23,24,0.124315404
24,25,0.123923952
25,26,0.123573156
26,27,0.123262618
27,28,0.122991942
28,29,0.122760731
29,30,0.122568586
30,31,0.122415112
31,32,0.122299911
32,33,0.122222585
33,34,0.122182738
34,35,0.122179972
35,36,0.122213891
36,37,0.122284097
37,38,0.122390193
38,39,0.122531782
39,40,0.122708466
40,41,0.122919849
41,42,0.123165534
42,43,0.123445122
43,44,0.123758218
44,45,0.124104424
45,46,0.124483342
46,47,0.124894576
47,48,0.125337729
48,49,0.125812402
49,50,0.1263182
50,51,0.126854725
51,52,0.12742158
52,53,0.128018368
53,54,0.128644691
54,55,0.129300153
55,56,0.129984355
56,57,0.130696902
57,58,0.131437396
58,59,0.13220544
59,60,0.133000636
60,61,0.133822588
61,62,0.134670898
62,63,0.135545169
63,64,0.136445005
64,65,0.137370007
65,1000,0.137370007
